"","TRANSACTION_DESCRIPTION","TRANSACTION_DATE"
"347","Jazmine Jones signed a Rest-of-Season Contract with the Washington Mystics.","2022-08-10"
"348","Odyssey Sims signed a Rest-of-Season Hardship Contract with the Connecticut Sun.","2022-08-10"
"349","Lindsay Allen signed a Rest-of-Season Hardship Contract with the Minnesota Lynx.","2022-08-10"
"350","The Atlanta Dream released Maya Caldwell.","2022-08-09"
"351","The Minnesota Lynx released Lindsay Allen.","2022-08-09"
"352","The Minnesota Lynx released Nikolina Milic.","2022-08-09"
"353","Maya Caldwell signed a Rest-of-Season Hardship Contract with the Atlanta Dream.","2022-08-09"
"354","Yvonne Turner signed a Rest-of-Season Hardship Contract with the Phoenix Mercury.","2022-08-08"
"355","Napheesa Collier was set active.","2022-08-07"
"356","Nikolina Milic signed a Rest-of-Season Hardship Contract with the Minnesota Lynx.","2022-08-07"
"357","Lindsay Allen signed a Rest-of-Season Hardship Contract with the Minnesota Lynx.","2022-08-07"
"358","The Minnesota Lynx released Lindsay Allen.","2022-08-06"
"359","The Minnesota Lynx released Nikolina Milic.","2022-08-06"
"360","Lindsay Allen signed a 7-Day Contract (3rd Contract) with the Minnesota Lynx.","2022-08-05"
"361","The Minnesota Lynx released Lindsay Allen.","2022-08-04"
"362","The Phoenix Mercury released Kaela Davis.","2022-08-04"
"363","The Connecticut Sun released Kiana Williams.","2022-08-03"
"364","Odyssey Sims signed a 7-Day Contract (1st Contract) with the Connecticut Sun.","2022-08-03"
"365","The Los Angeles Sparks released Kianna Smith.","2022-08-02"
"366","Maya Caldwell signed a 7-Day Contract (1st Contract) with the Atlanta Dream.","2022-08-02"
"367","Kianna Smith signed a Rest-of-Season Contract with the Los Angeles Sparks.","2022-08-02"
"368","The Minnesota Lynx released Lindsay Allen.","2022-07-28"
"369","The Phoenix Mercury released Kaela Davis.","2022-07-28"
"370","Lindsay Allen signed a 7-Day Contract (2nd Contract) with the Minnesota Lynx.","2022-07-28"
"371","Kaela Davis signed a 7-Day Contract (2nd Contract) with the Phoenix Mercury.","2022-07-28"
"372","Kiana Williams signed a 7-Day Contract (1st Contract) with the Connecticut Sun.","2022-07-27"
"373","Liz Cambage signed a Contract Amendment - Divorce with the Los Angeles Sparks.","2022-07-26"
"374","Kianna Smith signed a 7-Day Contract (2nd Contract) with the Los Angeles Sparks.","2022-07-26"
"375","Liz Cambage was waived by the Los Angeles Sparks.","2022-07-26"
"376","Joyner Holmes signed a Rest-of-Season Contract with the Connecticut Sun.","2022-07-21"
"377","Lindsay Allen signed a 7-Day Contract (1st Contract) with the Minnesota Lynx.","2022-07-21"
"378","Kaela Davis signed a 7-Day Contract (1st Contract) with the Phoenix Mercury.","2022-07-21"
"379","The Connecticut Sun released Jazmine Jones.","2022-07-20"
"380","The Connecticut Sun released Joyner Holmes.","2022-07-20"
"381","The Minnesota Lynx released Nikolina Milic.","2022-07-18"
"382","The Washington Mystics released Evina Westbrook.","2022-07-18"
"383","The Phoenix Mercury released Reshanda Gray.","2022-07-18"
"384","The Phoenix Mercury released Jennie Simms.","2022-07-18"
"385","Bria Hartley signed a Rest-of-Season Contract with the Connecticut Sun.","2022-07-18"
"386","Evina Westbrook signed a Rest-of-Season Contract with the Washington Mystics.","2022-07-18"
"387","Reshanda Gray signed a Rest-of-Season Contract with the Phoenix Mercury.","2022-07-18"
"388","Jennie Simms signed a Rest-of-Season Hardship Contract with the Phoenix Mercury.","2022-07-18"
"389","Nikolina Milic signed a Rest-of-Season Hardship Contract with the Minnesota Lynx.","2022-07-18"
"390","Kelsey Plum signed a Contract Extension with the Las Vegas Aces.","2022-07-16"
"391","Bria Hartley signed a Contract Amendment - Divorce with the Indiana Fever.","2022-07-15"
"392","Rennia Davis signed a Rest-of-Season Contract with the Indiana Fever.","2022-07-15"
"393","Bria Hartley was waived by the Indiana Fever.","2022-07-15"
"394","Jazmine Jones signed a 7-Day Contract (3rd Contract) with the Connecticut Sun.","2022-07-13"
"395","Joyner Holmes signed a 7-Day Contract (3rd Contract) with the Connecticut Sun.","2022-07-13"
"396","The Los Angeles Sparks released Kianna Smith.","2022-07-11"
"397","The Phoenix Mercury released Reshanda Gray.","2022-07-11"
"398","The Washington Mystics released Evina Westbrook.","2022-07-11"
"399","The Phoenix Mercury released Jennie Simms.","2022-07-11"
"400","Nikolina Milic signed a 7-Day Contract (3rd Contract) with the Minnesota Lynx.","2022-07-11"
"401","Evina Westbrook signed a 7-Day Contract (3rd Contract) with the Washington Mystics.","2022-07-11"
"402","Reshanda Gray signed a 7-Day Contract (3rd Contract) with the Phoenix Mercury.","2022-07-11"
"403","Jennie Simms signed a 7-Day Contract (3rd Contract) with the Phoenix Mercury.","2022-07-11"
"404","The Minnesota Lynx released Nikolina Milic.","2022-07-10"
"405","The Connecticut Sun released Joyner Holmes.","2022-07-10"
"406","The Connecticut Sun released Jazmine Jones.","2022-07-10"
"407","The Phoenix Mercury released Reshanda Gray.","2022-07-04"
"408","The Washington Mystics released Evina Westbrook.","2022-07-04"
"409","The Phoenix Mercury released Jennie Simms.","2022-07-04"
"410","Evina Westbrook signed a 7-Day Contract (2nd Contract) with the Washington Mystics.","2022-07-04"
"411","Kianna Smith signed a 7-Day Contract (1st Contract) with the Los Angeles Sparks.","2022-07-04"
"412","Reshanda Gray signed a 7-Day Contract (2nd Contract) with the Phoenix Mercury.","2022-07-04"
"413","Jennie Simms signed a 7-Day Contract (2nd Contract) with the Phoenix Mercury.","2022-07-04"
"414","The Connecticut Sun released Joyner Holmes.","2022-07-03"
"415","The Minnesota Lynx released Nikolina Milic.","2022-07-03"
"416","The Connecticut Sun released Jazmine Jones.","2022-07-03"
"417","Crystal Dangerfield signed a Rest-of-Season Contract with the New York Liberty.","2022-07-03"
"418","Jazmine Jones signed a 7-Day Contract (2nd Contract) with the Connecticut Sun.","2022-07-03"
"419","Joyner Holmes signed a 7-Day Contract (2nd Contract) with the Connecticut Sun.","2022-07-03"
"420","Nikolina Milic signed a 7-Day Contract (2nd Contract) with the Minnesota Lynx.","2022-07-03"
"421","Lorela Cubaj was waived by the New York Liberty.","2022-07-01"
"422","Dearica Hamby signed a Contract Amendment - Time-Off Bonus with the Las Vegas Aces.","2022-06-29"
"423","Dearica Hamby signed a Contract Extension with the Las Vegas Aces.","2022-06-29"
"424","Tina Charles signed a Rest-of-Season Contract with the Seattle Storm.","2022-06-28"
"425","Evina Westbrook signed a 7-Day Contract (1st Contract) with the Washington Mystics.","2022-06-27"
"426","Reshanda Gray signed a 7-Day Contract (1st Contract) with the Phoenix Mercury.","2022-06-27"
"427","Jennie Simms signed a 7-Day Contract (1st Contract) with the Phoenix Mercury.","2022-06-27"
"428","The Atlanta Dream released Maya Caldwell.","2022-06-26"
"429","The Atlanta Dream released Yvonne Turner.","2022-06-26"
"430","Jazmine Jones signed a 7-Day Contract (1st Contract) with the Connecticut Sun.","2022-06-26"
"431","Joyner Holmes signed a 7-Day Contract (1st Contract) with the Connecticut Sun.","2022-06-26"
"432","Nikolina Milic signed a 7-Day Contract (1st Contract) with the Minnesota Lynx.","2022-06-26"
"433","The New York Liberty released Crystal Dangerfield.","2022-06-25"
"434","Tina Charles signed a Contract Amendment - Divorce with the Phoenix Mercury.","2022-06-25"
"435","Tina Charles was waived by the Phoenix Mercury.","2022-06-25"
"436","Kennedy Burke was waived by the Washington Mystics.","2022-06-24"
"437","Kristine Anigwe was waived by the Phoenix Mercury.","2022-06-24"
"438","Jazmine Jones was waived by the Connecticut Sun.","2022-06-24"
"439","Joyner Holmes was waived by the Connecticut Sun.","2022-06-24"
"440","Reshanda Gray was waived by the Seattle Storm.","2022-06-24"
"441","Evina Westbrook was waived by the Minnesota Lynx.","2022-06-24"
"442","Yvonne Turner signed a Rest-of-Season Hardship Contract with the Atlanta Dream.","2022-06-23"
"443","The Atlanta Dream released Destiny Slocum.","2022-06-22"
"444","The Minnesota Lynx released Nikolina Milic.","2022-06-22"
"445","The Phoenix Mercury released Jennie Simms.","2022-06-22"
"446","The Minnesota Lynx released Elissa Cunane.","2022-06-21"
"447","Iliana Rupert signed a Rookie Scale Contract with the Las Vegas Aces.","2022-06-19"
"448","Maya Caldwell signed a Rest-of-Season Hardship Contract with the Atlanta Dream.","2022-06-19"
"449","Jazmine Jones signed a Rest-of-Season Contract with the Connecticut Sun.","2022-06-15"
"450","Khayla Pointer signed a Rest-of-Season Contract with the Indiana Fever.","2022-06-14"
"451","Destiny Slocum signed a Rest-of-Season Hardship Contract with the Atlanta Dream.","2022-06-14"
"452","Yvonne Anderson was waived by the Connecticut Sun.","2022-06-11"
"453","Elissa Cunane signed a Rest-of-Season Hardship Contract with the Minnesota Lynx.","2022-06-10"
"454","Nikolina Milic signed a Rest-of-Season Hardship Contract with the Minnesota Lynx.","2022-06-10"
"455","Julie Allemand was set active.","2022-06-09"
"456","The Minnesota Lynx released Nikolina Milic.","2022-06-09"
"457","The Minnesota Lynx released Elissa Cunane.","2022-06-09"
"458","The Minnesota Lynx released Kamiah Smalls.","2022-06-09"
"459","Crystal Dangerfield signed a Rest-of-Season Hardship Contract with the New York Liberty.","2022-06-09"
"460","Jennie Simms signed a Rest-of-Season Hardship Contract with the Phoenix Mercury.","2022-06-09"
"461","Kristi Toliver was set active.","2022-06-08"
"462","Marine Johannès signed a Rest-of-Season Contract with the New York Liberty.","2022-06-08"
"463","The exclusive negotiating rights of Raquel Carrera were traded from the Atlanta Dream to the New York Liberty.","2022-06-08"
"464","Megan Walker was traded from the Atlanta Dream to the New York Liberty.","2022-06-08"
"465","Asia (AD) Durr was traded from the New York Liberty to the Atlanta Dream.","2022-06-08"
"466","Megan Walker was waived by the New York Liberty.","2022-06-08"
"467","The New York Liberty released Crystal Dangerfield.","2022-06-07"
"468","Alaina Coates was waived by the Indiana Fever.","2022-06-07"
"469","Amy Atwell was waived by the Los Angeles Sparks.","2022-06-07"
"470","Emma Cannon signed a Rest-of-Season Contract with the Indiana Fever.","2022-06-05"
"471","The Seattle Storm released Kiana Williams.","2022-06-04"
"472","The Connecticut Sun released Stephanie Jones.","2022-06-03"
"473","Kiana Williams signed a Rest-of-Season Hardship Contract with the Seattle Storm.","2022-06-03"
"474","The Seattle Storm released Kiana Williams.","2022-06-02"
"475","The Seattle Storm released Kaela Davis.","2022-06-02"
"476","Kamiah Smalls signed a Rest-of-Season Hardship Contract with the Minnesota Lynx.","2022-06-01"
"477","Stephanie Jones signed a Rest-of-Season Hardship Contract with the Connecticut Sun.","2022-05-31"
"478","Elissa Cunane signed a Rest-of-Season Hardship Contract with the Minnesota Lynx.","2022-05-31"
"479","The Phoenix Mercury released Karlie Samuelson.","2022-05-30"
"480","Alanna Smith was waived by the Indiana Fever.","2022-05-30"
"481","Kaela Davis signed a Rest-of-Season Hardship Contract with the Seattle Storm.","2022-05-28"
"482","Kiana Williams signed a Rest-of-Season Hardship Contract with the Seattle Storm.","2022-05-27"
"483","Karlie Samuelson signed a Rest-of-Season Hardship Contract with the Phoenix Mercury.","2022-05-25"
"484","Li Yueru was set active.","2022-05-23"
"485","The Chicago Sky released Anneli Maley.","2022-05-23"
"486","Chelsea Gray signed a Contract Amendment - Time-Off Bonus with the Las Vegas Aces.","2022-05-23"
"487","Chelsea Gray signed a Contract Extension with the Las Vegas Aces.","2022-05-23"
"488","The Minnesota Lynx released Hannah Sjerven.","2022-05-22"
"489","Crystal Dangerfield signed a Rest-of-Season Hardship Contract with the New York Liberty.","2022-05-21"
"490","Kahleah Copper was set active.","2022-05-20"
"491","Bria Hartley was set active.","2022-05-20"
"492","The Chicago Sky released Tina Krajisnik.","2022-05-19"
"493","Elizabeth Williams was set active.","2022-05-18"
"494","The Seattle Storm released Kaela Davis.","2022-05-18"
"495","Kylee Shook  is out for the 2022 season due to a Personal Decision.","2022-05-17"
"496","Satou Sabally was set active.","2022-05-17"
"497","Kiah Stokes was set active.","2022-05-17"
"498","Katie Lou Samuelson was set active.","2022-05-17"
"499","Kayla McBride was set active.","2022-05-16"
"500","Kennedy Burke was set active.","2022-05-16"
"501","Rebecca Allen was set active.","2022-05-16"
"502","The Minnesota Lynx released Yvonne Turner.","2022-05-16"
"503","The Washington Mystics released Katie Benzan.","2022-05-16"
"504","The Seattle Storm released Raina Perez.","2022-05-16"
"505","The New York Liberty exercised their option with Jocelyn Willoughby.","2022-05-15"
"506","Courtney Williams was set active.","2022-05-15"
"507","Jessica Shepard signed a Contract Extension with the Minnesota Lynx.","2022-05-15"
"508","Katie Lou Samuelson signed a Contract Extension with the Los Angeles Sparks.","2022-05-15"
"509","Jackie Young signed a Contract Extension with the Las Vegas Aces.","2022-05-15"
"510","DeWanna Bonner was set active.","2022-05-14"
"511","The New York Liberty exercised their option with Sabrina Ionescu.","2022-05-14"
"512","Kaela Davis signed a Rest-of-Season Hardship Contract with the Seattle Storm.","2022-05-14"
"513","Brianna Turner signed a Contract Extension with the Phoenix Mercury.","2022-05-14"
"514","The Chicago Sky exercised their option with Julie Allemand.","2022-05-13"
"515","The Chicago Sky exercised their option with Ruthy Hebard.","2022-05-13"
"516","Tiffany Hayes was set active.","2022-05-13"
"517","The Chicago Sky released Sparkle Taylor.","2022-05-13"
"518","Evina Westbrook signed a Rest-of-Season Contract with the Minnesota Lynx.","2022-05-13"
"519","Moriah Jefferson signed a Rest-of-Season Contract with the Minnesota Lynx.","2022-05-13"
"520","Hannah Sjerven signed a Rest-of-Season Hardship Contract with the Minnesota Lynx.","2022-05-13"
"521","Yvonne Turner signed a Rest-of-Season Hardship Contract with the Minnesota Lynx.","2022-05-13"
"522","Nikolina Milic signed a Rest-of-Season Hardship Contract with the Minnesota Lynx.","2022-05-13"
"523","The Minnesota Lynx released Rennia Davis.","2022-05-12"
"524","The Minnesota Lynx released Nikolina Milic.","2022-05-12"
"525","The Minnesota Lynx released Yvonne Turner.","2022-05-12"
"526","The Washington Mystics released Stephanie Jones.","2022-05-12"
"527","Angel McCoughtry signed a Contract Amendment - Divorce with the Minnesota Lynx.","2022-05-12"
"528","Odyssey Sims was waived by the Minnesota Lynx.","2022-05-12"
"529","Angel McCoughtry was waived by the Minnesota Lynx.","2022-05-12"
"530","Alaina Coates was set active.","2022-05-11"
"531","Danielle Robinson was set active.","2022-05-11"
"532","The Los Angeles Sparks exercised their option with Chennedy Carter.","2022-05-11"
"533","The Indiana Fever released Crystal Dangerfield.","2022-05-11"
"534","Raina Perez signed a Rest-of-Season Hardship Contract with the Seattle Storm.","2022-05-11"
"535","Brianna Turner was set active.","2022-05-10"
"536","Diamond DeShields was set active.","2022-05-10"
"537","Teaira McCowan was set active.","2022-05-10"
"538","Anneli Maley signed a Rest-of-Season Hardship Contract with the Chicago Sky.","2022-05-10"
"539","Rennia Davis signed a Rest-of-Season Hardship Contract with the Minnesota Lynx.","2022-05-10"
"540","Rebekah Gardner was set active.","2022-05-09"
"541","The Chicago Sky released Anneli Maley.","2022-05-09"
"542","The Chicago Sky released Kaela Davis.","2022-05-09"
"543","The Phoenix Mercury released Emma Cannon.","2022-05-09"
"544","The Phoenix Mercury released Jennie Simms.","2022-05-09"
"545","Moriah Jefferson was waived by the Dallas Wings.","2022-05-09"
"546","The New York Liberty released Kaila Charles.","2022-05-08"
"547","Katie Benzan signed a Rest-of-Season Hardship Contract with the Washington Mystics.","2022-05-08"
"548","Beatrice Mompremier was awarded on waivers to the Atlanta Dream.","2022-05-06"
"549","Kennedy Burke was awarded on waivers to the Washington Mystics.","2022-05-06"
"550","Kennedy Burke is temporarily suspended.","2022-05-06"
"551","Nikolina Milic signed a Rest-of-Season Hardship Contract with the Minnesota Lynx.","2022-05-06"
"552","Yvonne Turner signed a Rest-of-Season Hardship Contract with the Minnesota Lynx.","2022-05-06"
"553","Crystal Dangerfield signed a Rest-of-Season Hardship Contract with the Indiana Fever.","2022-05-06"
"554","Kaila Charles signed a Rest-of-Season Hardship Contract with the New York Liberty.","2022-05-06"
"555","Emma Cannon signed a Rest-of-Season Hardship Contract with the Phoenix Mercury.","2022-05-06"
"556","Jennie Simms signed a Rest-of-Season Hardship Contract with the Phoenix Mercury.","2022-05-06"
"557","Stephanie Jones signed a Rest-of-Season Hardship Contract with the Washington Mystics.","2022-05-06"
"558","Anneli Maley signed a Rest-of-Season Hardship Contract with the Chicago Sky.","2022-05-06"
"559","Sparkle Taylor signed a Rest-of-Season Hardship Contract with the Chicago Sky.","2022-05-06"
"560","Kaela Davis signed a Rest-of-Season Hardship Contract with the Chicago Sky.","2022-05-06"
"561","Tina Krajisnik signed a Rest-of-Season Hardship Contract with the Chicago Sky.","2022-05-06"
"562","Katie Benzan was waived by the Washington Mystics.","2022-05-06"
"563","Satou Sabally is temporarily suspended.","2022-05-05"
"564","Bria Hartley is temporarily suspended.","2022-05-05"
"565","Teaira McCowan is temporarily suspended.","2022-05-05"
"566","Alaina Coates is temporarily suspended.","2022-05-05"
"567","Danielle Robinson is temporarily suspended.","2022-05-05"
"568","Elizabeth Williams is temporarily suspended.","2022-05-05"
"569","Tiffany Hayes is temporarily suspended.","2022-05-05"
"570","Rebecca Allen is temporarily suspended.","2022-05-05"
"571","Courtney Williams is temporarily suspended.","2022-05-05"
"572","DeWanna Bonner is temporarily suspended.","2022-05-05"
"573","Kiah Stokes is temporarily suspended.","2022-05-05"
"574","Napheesa Collier  is out indefinitely due to Pregnancy/Childbirth.","2022-05-05"
"575","Kayla McBride is temporarily suspended.","2022-05-05"
"576","Brianna Turner is temporarily suspended.","2022-05-05"
"577","Diamond DeShields is temporarily suspended.","2022-05-05"
"578","Julie Allemand is temporarily suspended.","2022-05-05"
"579","Rebekah Gardner is temporarily suspended.","2022-05-05"
"580","Kahleah Copper is temporarily suspended.","2022-05-05"
"581","Amanda Zahui B is suspended for the full season.","2022-05-05"
"582","Kristi Toliver is temporarily suspended.","2022-05-05"
"583","Katie Lou Samuelson is temporarily suspended.","2022-05-05"
"584","Li Yueru is temporarily suspended.","2022-05-05"
"585","Maya Caldwell was waived by the Atlanta Dream.","2022-05-05"
"586","Unique Thompson was waived by the Dallas Wings.","2022-05-05"
"587","Victoria Macaulay was waived by the Las Vegas Aces.","2022-05-05"
"588","Masseny Kaba was waived by the Chicago Sky.","2022-05-05"
"589","Kathleen Doyle was waived by the Chicago Sky.","2022-05-05"
"590","Emmanuelle Tahane was waived by the Chicago Sky.","2022-05-05"
"591","Maya Dodson was waived by the Phoenix Mercury.","2022-05-05"
"592","Leaonna Odom was waived by the Phoenix Mercury.","2022-05-05"
"593","Megan Gustafson signed a Training Camp Contract with the Phoenix Mercury.","2022-05-04"
"594","Lindsay Allen was waived by the Indiana Fever.","2022-05-04"
"595","Erin Whalen was waived by the Indiana Fever.","2022-05-04"
"596","Ameshya Williams-Holliday was waived by the Indiana Fever.","2022-05-04"
"597","Beatrice Mompremier was waived by the Connecticut Sun.","2022-05-04"
"598","Stephanie Jones was waived by the Connecticut Sun.","2022-05-04"
"599","Te'a Cooper was waived by the Los Angeles Sparks.","2022-05-04"
"600","Arella Guirantes was waived by the Los Angeles Sparks.","2022-05-04"
"601","Kianna Smith was waived by the Los Angeles Sparks.","2022-05-04"
"602","Anneli Maley was waived by the Chicago Sky.","2022-05-04"
"603","Kaela Davis was waived by the Chicago Sky.","2022-05-04"
"604","Tina Krajisnik was waived by the Chicago Sky.","2022-05-04"
"605","Sparkle Taylor was waived by the Chicago Sky.","2022-05-04"
"606","Kysre Gondrezick was waived by the Chicago Sky.","2022-05-04"
"607","Evina Westbrook was waived by the Seattle Storm.","2022-05-04"
"608","Kennedy Burke was waived by the Seattle Storm.","2022-05-04"
"609","Mikiah Herbert Harrigan was waived by the Seattle Storm.","2022-05-04"
"610","Victoria Macaulay signed a Training Camp Contract with the Las Vegas Aces.","2022-05-03"
"611","Odyssey Sims signed a Training Camp Contract with the Minnesota Lynx.","2022-05-03"
"612","Stephanie Mavunga was waived by the Washington Mystics.","2022-05-03"
"613","Linnae Harper was waived by the Washington Mystics.","2022-05-03"
"614","Layshia Clarendon was waived by the Minnesota Lynx.","2022-05-03"
"615","Crystal Dangerfield was waived by the Minnesota Lynx.","2022-05-03"
"616","Rennia Davis was waived by the Minnesota Lynx.","2022-05-03"
"617","Kayla Jones was waived by the Minnesota Lynx.","2022-05-03"
"618","Hannah Sjerven was waived by the Minnesota Lynx.","2022-05-03"
"619","Yvonne Turner was waived by the Minnesota Lynx.","2022-05-03"
"620","Emma Cannon was waived by the Phoenix Mercury.","2022-05-03"
"621","Jennie Simms was waived by the Phoenix Mercury.","2022-05-03"
"622","Kiana Williams was waived by the Phoenix Mercury.","2022-05-03"
"623","Vivian Gray was waived by the Phoenix Mercury.","2022-05-03"
"624","Kylee Shook  is out for the 2022 season due to a Personal Decision.","2022-05-02"
"625","Reshanda Gray signed a Training Camp Contract with the Seattle Storm.","2022-05-02"
"626","Napheesa Collier signed a Contract Extension with the Minnesota Lynx.","2022-05-02"
"627","Lindsey Pulliam was waived by the Chicago Sky.","2022-05-02"
"628","Nancy Mulkey was waived by the Las Vegas Aces.","2022-05-02"
"629","Kaila Charles was waived by the Connecticut Sun.","2022-05-02"
"630","Taja Cole was waived by the Connecticut Sun.","2022-05-02"
"631","Aleksa Gulbe was waived by the Connecticut Sun.","2022-05-02"
"632","Chloe Bibby was waived by the Minnesota Lynx.","2022-05-02"
"633","Moon Ursin was waived by the Minnesota Lynx.","2022-05-02"
"634","Mya Hollingshed was waived by the Las Vegas Aces.","2022-05-02"
"635","Khayla Pointer was waived by the Las Vegas Aces.","2022-05-02"
"636","Destinee Walker was waived by the Dallas Wings.","2022-05-02"
"637","Elissa Cunane was waived by the Seattle Storm.","2022-05-02"
"638","Raina Perez was waived by the Seattle Storm.","2022-05-02"
"639","Jazmine Jones was waived by the Indiana Fever.","2022-05-01"
"640","Jaime Nared was waived by the Indiana Fever.","2022-05-01"
"641","Mael Gilles was waived by the Phoenix Mercury.","2022-04-30"
"642","Jenna Giacone was waived by the Seattle Storm.","2022-04-30"
"643","Paisley Harding was waived by the Seattle Storm.","2022-04-30"
"644","Imani McGee-Stafford was waived by the Chicago Sky.","2022-04-29"
"645","Lexi Held was waived by the Chicago Sky.","2022-04-29"
"646","Morgan Bertsch was waived by the Dallas Wings.","2022-04-29"
"647","Lauren Cox was waived by the Los Angeles Sparks.","2022-04-29"
"648","Lexi Gordon was waived by the Los Angeles Sparks.","2022-04-29"
"649","Chantel Horvat was waived by the Los Angeles Sparks.","2022-04-29"
"650","Kamiah Smalls was waived by the Chicago Sky.","2022-04-28"
"651","Kayla Wells was waived by the Chicago Sky.","2022-04-28"
"652","Megan Gustafson was waived by the Washington Mystics.","2022-04-28"
"653","Lee Seul Kang was waived by the Washington Mystics.","2022-04-28"
"654","Erica McCall was waived by the Washington Mystics.","2022-04-28"
"655","CeCe Hooks was waived by the Minnesota Lynx.","2022-04-28"
"656","Jaylyn Agnew was waived by the Atlanta Dream.","2022-04-27"
"657","Jordan Lewis was waived by the Connecticut Sun.","2022-04-27"
"658","Paris Kea was waived by the New York Liberty.","2022-04-27"
"659","Lauren Manis was waived by the Seattle Storm.","2022-04-26"
"660","Jazz Bond was waived by the Dallas Wings.","2022-04-26"
"661","Chelsea Dungee was waived by the Dallas Wings.","2022-04-26"
"662","Haley Gorecki was waived by the Indiana Fever.","2022-04-26"
"663","N'dea Jones was waived by the Atlanta Dream.","2022-04-25"
"664","MeMe Jackson was waived by the Washington Mystics.","2022-04-25"
"665","Que Morrison was waived by the Atlanta Dream.","2022-04-23"
"666","Khaalia Hillsman was waived by the Atlanta Dream.","2022-04-22"
"667","Christyn Williams was waived by the Washington Mystics.","2022-04-22"
"668","Chelsey Perry  is out for the 2022 season due to a Personal Decision.","2022-04-21"
"669","Bernadett Hatar  is out for the 2022 season due to a Non-WNBA Injury.","2022-04-21"
"670","Ali Patberg was waived by the Indiana Fever.","2022-04-21"
"671","Macee Williams was waived by the Phoenix Mercury.","2022-04-21"
"672","Katie Benzan signed a Training Camp Contract with the Washington Mystics.","2022-04-20"
"673","Micaela Kelly was waived by the Indiana Fever.","2022-04-20"
"674","Faustine Aifuwa was waived by the Las Vegas Aces.","2022-04-20"
"675","Deja Winters was waived by the Las Vegas Aces.","2022-04-20"
"676","Alexus Dye was waived by the Connecticut Sun.","2022-04-20"
"677","Delicia Washington was waived by the Connecticut Sun.","2022-04-20"
"678","Keyona Hayes was waived by the Connecticut Sun.","2022-04-20"
"679","Kalani Brown was waived by the Las Vegas Aces.","2022-04-19"
"680","Rhyne Howard signed a Rookie Scale Contract with the Atlanta Dream.","2022-04-18"
"681","Naz Hillmon signed a Rookie Scale Contract with the Atlanta Dream.","2022-04-18"
"682","Jennifer Coleman was waived by the Washington Mystics.","2022-04-18"
"683","Olivia Nelson-Ododa signed a Rookie Scale Contract with the Los Angeles Sparks.","2022-04-17"
"684","Lexie Hull signed a Rookie Scale Contract with the Indiana Fever.","2022-04-17"
"685","Ameshya Williams-Holliday signed a Rookie Scale Contract with the Indiana Fever.","2022-04-16"
"686","Emily Engstler signed a Rookie Scale Contract with the Indiana Fever.","2022-04-16"
"687","Destanni Henderson signed a Rookie Scale Contract with the Indiana Fever.","2022-04-16"
"688","Lindsey Pulliam signed a Training Camp Contract with the Chicago Sky.","2022-04-16"
"689","NaLyssa Smith signed a Rookie Scale Contract with the Indiana Fever.","2022-04-16"
"690","Amy Atwell signed a Rookie Scale Contract with the Los Angeles Sparks.","2022-04-16"
"691","Kianna Smith signed a Rookie Scale Contract with the Los Angeles Sparks.","2022-04-16"
"692","Rae Burrell signed a Rookie Scale Contract with the Los Angeles Sparks.","2022-04-16"
"693","Lexi Gordon signed a Training Camp Contract with the Los Angeles Sparks.","2022-04-16"
"694","Chantel Horvat signed a Training Camp Contract with the Los Angeles Sparks.","2022-04-16"
"695","Emma Cannon signed a Training Camp Contract with the Phoenix Mercury.","2022-04-16"
"696","Nancy Mulkey signed a Training Camp Contract with the Las Vegas Aces.","2022-04-16"
"697","Queen Egbo signed a Rookie Scale Contract with the Indiana Fever.","2022-04-15"
"698","Masseny Kaba signed a Training Camp Contract with the Chicago Sky.","2022-04-15"
"699","Jordan Lewis signed a Rookie Scale Contract with the Connecticut Sun.","2022-04-15"
"700","Lorela Cubaj signed a Rookie Scale Contract with the New York Liberty.","2022-04-15"
"701","Christyn Williams signed a Rookie Scale Contract with the Washington Mystics.","2022-04-15"
"702","Natasha Mack was waived by the Minnesota Lynx.","2022-04-15"
"703","Erin Whalen signed a Training Camp Contract with the Indiana Fever.","2022-04-14"
"704","Ali Patberg signed a Rookie Scale Contract with the Indiana Fever.","2022-04-14"
"705","Nia Clouden signed a Rookie Scale Contract with the Connecticut Sun.","2022-04-14"
"706","Evina Westbrook signed a Rookie Scale Contract with the Seattle Storm.","2022-04-14"
"707","Jenna Giacone signed a Training Camp Contract with the Seattle Storm.","2022-04-14"
"708","Paisley Harding signed a Training Camp Contract with the Seattle Storm.","2022-04-14"
"709","Raina Perez signed a Training Camp Contract with the Seattle Storm.","2022-04-14"
"710","Jennifer Coleman signed a Training Camp Contract with the Washington Mystics.","2022-04-14"
"711","Shakira Austin signed a Rookie Scale Contract with the Washington Mystics.","2022-04-14"
"712","Sparkle Taylor signed a Training Camp Contract with the Chicago Sky.","2022-04-14"
"713","Emmanuelle Tahane signed a Training Camp Contract with the Chicago Sky.","2022-04-14"
"714","Elissa Cunane signed a Rookie Scale Contract with the Seattle Storm.","2022-04-14"
"715","Macee Williams signed a Rookie Scale Contract with the Phoenix Mercury.","2022-04-13"
"716","Jazz Bond signed a Rookie Scale Contract with the Dallas Wings.","2022-04-13"
"717","Veronica Burton signed a Rookie Scale Contract with the Dallas Wings.","2022-04-13"
"718","Deja Winters signed a Training Camp Contract with the Las Vegas Aces.","2022-04-13"
